,col,importance,model
0,MolLogP,0.021378731100835116,desc_EC1
1,MinEStateIndex,0.02004675198816146,desc_EC1
2,TPSA,0.019954748753621528,desc_EC1
3,NumHeteroatoms,0.017357261455060488,desc_EC1
4,MinAbsEStateIndex,0.017027691912996933,desc_EC1
5,FpDensityMorgan1,0.01662392268209494,desc_EC1
6,FpDensityMorgan2,0.016359622730719194,desc_EC1
7,VSA_EState9,0.01616264079844712,desc_EC1
8,Kappa2,0.016144504366591768,desc_EC1
9,qed,0.01608879193275091,desc_EC1
10,MolLogP,0.025425995816855677,desc_EC2
11,MinAbsEStateIndex,0.021087143662327282,desc_EC2
12,Kappa2,0.020278644602258648,desc_EC2
13,MinEStateIndex,0.018763857322134515,desc_EC2
14,Kappa3,0.018003459950358253,desc_EC2
15,qed,0.017765865186464835,desc_EC2
16,MaxEStateIndex,0.017589741977754553,desc_EC2
17,BalabanJ,0.017217695932014134,desc_EC2
18,VSA_EState9,0.0156584675845075,desc_EC2
19,Chi3v,0.015453931376817559,desc_EC2
20,MolLogP,0.023033027239298193,desc_EC3
21,qed,0.017849919005275054,desc_EC3
22,Chi4n,0.017702229899329357,desc_EC3
23,TPSA,0.01724615618748485,desc_EC3
24,Chi2n,0.016794217225839587,desc_EC3
25,MaxEStateIndex,0.01658187437139809,desc_EC3
26,MinEStateIndex,0.015855682740075448,desc_EC3
27,MaxAbsEStateIndex,0.01576267087668239,desc_EC3
28,MinAbsEStateIndex,0.01572476268980165,desc_EC3
29,FpDensityMorgan3,0.015470661290783937,desc_EC3
30,MinAbsEStateIndex,0.029549471366265016,desc_EC4
31,MinEStateIndex,0.024760224925419305,desc_EC4
32,VSA_EState9,0.019882770482458536,desc_EC4
33,Chi3n,0.01789176370122736,desc_EC4
34,MaxEStateIndex,0.017745814505758885,desc_EC4
35,Kappa3,0.017599700408152542,desc_EC4
36,FpDensityMorgan3,0.017575002143376803,desc_EC4
37,Chi3v,0.01754985356575062,desc_EC4
38,MaxAbsEStateIndex,0.01660429182843765,desc_EC4
39,BalabanJ,0.016594759707045735,desc_EC4
40,MolLogP,0.02494901709387132,desc_EC5
41,MaxEStateIndex,0.0219205001357445,desc_EC5
42,BalabanJ,0.020229201957821647,desc_EC5
43,HallKierAlpha,0.01980472366879146,desc_EC5
44,MinAbsEStateIndex,0.019704271993515585,desc_EC5
45,BertzCT,0.018726230298577548,desc_EC5
46,FractionCSP3,0.01870916390280324,desc_EC5
47,MaxAbsEStateIndex,0.017992361498510013,desc_EC5
48,qed,0.017829774588202518,desc_EC5
49,FpDensityMorgan1,0.01687790366112245,desc_EC5
50,MinEStateIndex,0.02307154503582594,desc_EC6
51,MinAbsEStateIndex,0.02071905284820077,desc_EC6
52,Chi3n,0.02045788748180235,desc_EC6
53,fr_COO2,0.019280854865426175,desc_EC6
54,HeavyAtomMolWt,0.018817944407230256,desc_EC6
55,Chi3v,0.018294555491777872,desc_EC6
56,Chi1n,0.01746558015094203,desc_EC6
57,Chi2v,0.017392012814325647,desc_EC6
58,ExactMolWt,0.01737520752995457,desc_EC6
59,MaxAbsEStateIndex,0.017248587008310237,desc_EC6
60,M184,0.041198721583046036,ecfp_EC1
61,M99,0.01668845634929694,ecfp_EC1
62,M193,0.01620063075506881,ecfp_EC1
63,M303,0.013786269339745107,ecfp_EC1
64,M464,0.012429322907061642,ecfp_EC1
65,M254,0.0113525461660465,ecfp_EC1
66,M487,0.011210455126823077,ecfp_EC1
67,M300,0.0107342330388705,ecfp_EC1
68,M386,0.010527891628509724,ecfp_EC1
69,M129,0.009267377144937068,ecfp_EC1
70,M417,0.00972643375191399,ecfp_EC2
71,M386,0.009390378793772806,ecfp_EC2
72,M229,0.009382788796656005,ecfp_EC2
73,M145,0.008692729031013023,ecfp_EC2
74,M402,0.007967740291756384,ecfp_EC2
75,M419,0.007869437641514362,ecfp_EC2
76,M384,0.007382797120731112,ecfp_EC2
77,M234,0.007361093936464093,ecfp_EC2
78,M180,0.0071824086328346245,ecfp_EC2
79,M183,0.007004725996798634,ecfp_EC2
80,M464,0.012790211037013862,ecfp_EC3
81,M99,0.011579411527454548,ecfp_EC3
82,M229,0.011067715731419674,ecfp_EC3
83,M184,0.010569753459316555,ecfp_EC3
84,M303,0.01000812837350862,ecfp_EC3
85,M472,0.009675793737209781,ecfp_EC3
86,M335,0.009595787450560733,ecfp_EC3
87,M223,0.009559337735875736,ecfp_EC3
88,M493,0.009522852061845806,ecfp_EC3
89,M455,0.009190752197629406,ecfp_EC3
90,M390,0.01589741481767609,ecfp_EC4
91,M145,0.015513381452271423,ecfp_EC4
92,M508,0.012631683300129022,ecfp_EC4
93,M314,0.012265256675566438,ecfp_EC4
94,M149,0.012110839980377427,ecfp_EC4
95,M211,0.012045522194610933,ecfp_EC4
96,M415,0.0101437577479092,ecfp_EC4
97,M223,0.009911147396451154,ecfp_EC4
98,M404,0.009807027854978981,ecfp_EC4
99,M34,0.009288881463466429,ecfp_EC4
100,M159,0.018260199611425946,ecfp_EC5
101,M309,0.015929400769446506,ecfp_EC5
102,M433,0.015199804324434558,ecfp_EC5
103,M314,0.011559814973231039,ecfp_EC5
104,M17,0.010821277706490905,ecfp_EC5
105,M379,0.009534829869641097,ecfp_EC5
106,M284,0.009186671546250547,ecfp_EC5
107,M234,0.008856889665996358,ecfp_EC5
108,M229,0.008767642193938966,ecfp_EC5
109,M382,0.008676886626512302,ecfp_EC5
110,M390,0.03430511768125625,ecfp_EC6
111,M202,0.019540083034194307,ecfp_EC6
112,M508,0.01700277586157154,ecfp_EC6
113,M314,0.015926504636876223,ecfp_EC6
114,M404,0.015438143055757093,ecfp_EC6
115,M234,0.013736766313918892,ecfp_EC6
116,M382,0.01112508083477905,ecfp_EC6
117,M148,0.010200395794212953,ecfp_EC6
118,M183,0.009163560609437753,ecfp_EC6
119,M309,0.008679551426512196,ecfp_EC6
120,M184,0.03220863410153849,fcfp_EC1
121,M193,0.022923923032651623,fcfp_EC1
122,M99,0.017312063905849915,fcfp_EC1
123,M303,0.013795529503655302,fcfp_EC1
124,M300,0.01280497060719843,fcfp_EC1
125,M464,0.012653786307540429,fcfp_EC1
126,M386,0.011222772510620935,fcfp_EC1
127,M487,0.010345920148476576,fcfp_EC1
128,M309,0.010187187400276968,fcfp_EC1
129,M145,0.009874580230976532,fcfp_EC1
130,M180,0.010269654038889313,fcfp_EC2
131,M145,0.008481647092125205,fcfp_EC2
132,M386,0.008463179740022312,fcfp_EC2
133,M402,0.008024730447101771,fcfp_EC2
134,M229,0.007982881793065907,fcfp_EC2
135,M34,0.007746058235721278,fcfp_EC2
136,M184,0.0070972236800930484,fcfp_EC2
137,M183,0.007018785768157727,fcfp_EC2
138,M293,0.006839233216300592,fcfp_EC2
139,M234,0.006452048395349481,fcfp_EC2
140,M184,0.0161681848388979,fcfp_EC3
141,M229,0.015213307740012661,fcfp_EC3
142,M464,0.013771533061915132,fcfp_EC3
143,M472,0.010966777003665799,fcfp_EC3
144,M34,0.010636863238620144,fcfp_EC3
145,M335,0.010555338145905422,fcfp_EC3
146,M487,0.008648330604769949,fcfp_EC3
147,M99,0.00826904265168749,fcfp_EC3
148,M455,0.008192695443788672,fcfp_EC3
149,M493,0.008159962341693956,fcfp_EC3
150,M390,0.016807917526133344,fcfp_EC4
151,M145,0.013757712381379123,fcfp_EC4
152,M508,0.01200334207593025,fcfp_EC4
153,M149,0.011129926339656683,fcfp_EC4
154,M404,0.010482623384933299,fcfp_EC4
155,M211,0.010419438561392907,fcfp_EC4
156,M357,0.010403565527810054,fcfp_EC4
157,M34,0.009842603814853208,fcfp_EC4
158,M223,0.00927546207699296,fcfp_EC4
159,M314,0.008735560924865462,fcfp_EC4
160,M433,0.018932439106372396,fcfp_EC5
161,M159,0.018572712835853135,fcfp_EC5
162,M309,0.012843335601484821,fcfp_EC5
163,M314,0.01020426535194662,fcfp_EC5
164,M17,0.010188836876202792,fcfp_EC5
165,M506,0.009701746700874802,fcfp_EC5
166,M464,0.009510453344978423,fcfp_EC5
167,M386,0.009298210216114766,fcfp_EC5
168,M338,0.009090755679109474,fcfp_EC5
169,M229,0.009039796300043548,fcfp_EC5
170,M390,0.0347400053504984,fcfp_EC6
171,M202,0.02002735583405327,fcfp_EC6
172,M382,0.017856668731778654,fcfp_EC6
173,M508,0.014993460083543016,fcfp_EC6
174,M404,0.012619683174691882,fcfp_EC6
175,M314,0.011620201367454798,fcfp_EC6
176,M234,0.011568609345937326,fcfp_EC6
177,M148,0.010737135461000368,fcfp_EC6
178,M34,0.009571213531818834,fcfp_EC6
179,M183,0.009196619880657425,fcfp_EC6
